systematic,herwig.ww,herwig.wz,herwig.zz,mcatnlo.ttbar,mcatnlo.singletop,alpgen.wjets,alpgen.zjets,qcd.alpgen,rsg.m500,rsg.m750,rsg.m1000,rsg.m1250,rsg.m1500,wprime.wz.m500,wprime.wz.m600,wprime.wz.m700,wprime.wz.m800,wprime.wz.m900,wprime.wz.m1000,wprime.wz.m1100,wprime.wz.m1200,wprime.wz.m1300,wprime.wz.m1400,wprime.wz.m1500
JES,9.45|11.81,7.11|9.05,14.44|10.59,4.78|7.30,8.37|9.41,10.99|10.75,18.04|9.08,-|-,9.78|12.20,2.57|2.30,2.88|2.03,5.30|3.47,4.33|4.07,10.44|11.49,2.57|4.37,1.44|1.83,0.81|0.12,0.83|0.58,0.71|0.33,0.67|0.68,0.42|1.16,1.46|0.89,1.70|3.30,1.49|2.42
JER,0.40|0.60,1.59|0.61,7.39|15.15,0.06|0.63,1.39|1.55,1.14|0.27,6.96|7.57,-|-,1.72|1.46,0.64|1.10,0.80|0.54,1.16|1.57,1.27|0.64,1.76|0.64,1.16|1.34,0.90|0.90,1.10|0.13,0.95|1.00,0.50|1.00,1.25|0.69,0.32|2.37,2.39|1.16,1.55|4.60,1.53|1.26
LES,0.14|0.38,0.01|0.19,0.00|0.32,0.18|0.08,0.08|0.58,0.10|0.40,0.80|0.86,-|-,0.31|0.15,0.04|0.22,0.10|0.48,0.12|0.70,0.18|0.11,0.16|0.79,0.08|0.10,0.11|0.23,0.07|0.03,0.00|0.04,0.08|0.19,0.09|0.45,0.00|0.10,0.00|0.33,0.03|0.84,0.00|0.00
LER,0.11|0.08,0.14|0.70,0.00|0.32,0.14|0.79,0.07|0.14,0.42|1.21,1.59|2.37,-|-,0.41|0.07,0.08|0.11,0.19|0.29,0.15|0.84,0.23|0.40,0.22|0.51,0.03|0.53,0.14|0.30,0.13|0.55,0.00|0.87,0.12|0.69,0.10|0.12,0.08|1.68,0.00|0.42,0.04|2.01,0.00|1.60
All Clusters,0.47|0.57,1.10|0.99,3.49|4.32,0.91|0.42,1.25|0.64,0.51|0.29,1.56|0.49,-|-,1.06|1.28,0.17|0.22,0.06|0.52,0.12|0.45,0.28|0.17,1.46|0.88,0.30|0.11,0.17|0.21,0.11|0.07,0.03|0.04,0.08|0.19,0.14|0.36,0.06|0.36,0.00|0.33,0.14|0.97,0.00|0.16
Met PileUp,0.47|0.48,1.19|0.92,3.49|4.32,0.78|0.43,0.85|0.72,0.45|0.12,2.13|0.84,-|-,0.96|1.11,0.14|0.21,0.07|0.47,0.12|0.46,0.28|0.16,1.22|0.89,0.24|0.11,0.23|0.16,0.11|0.07,0.03|0.04,0.08|0.19,0.14|0.49,0.06|0.36,0.00|0.33,0.14|0.84,0.00|0.16
ID SF,0.92|0.04,0.93|0.04,0.83|0.04,0.89|0.04,0.88|0.04,0.96|0.04,0.92|0.04,-|-,0.86|0.04,0.87|0.04,0.90|0.04,0.95|0.04,1.00|0.04,0.91|0.04,0.89|0.04,0.89|0.04,0.87|0.04,0.87|0.04,0.88|0.04,0.89|0.04,0.91|0.04,0.92|0.04,0.92|0.04,0.94|0.04
Reco SF,0.84|0.39,0.83|0.39,0.72|0.38,0.88|0.37,0.88|0.38,0.81|0.39,0.83|0.41,-|-,0.90|0.36,0.89|0.39,0.85|0.41,0.80|0.43,0.75|0.45,0.85|0.37,0.86|0.39,0.86|0.39,0.89|0.40,0.89|0.41,0.87|0.42,0.87|0.43,0.86|0.44,0.86|0.44,0.81|0.46,0.82|0.46
Trigger SF,0.56|1.72,0.55|1.70,0.65|1.79,0.56|1.74,0.56|1.73,0.56|1.71,0.53|1.75,-|-,0.55|1.74,0.56|1.72,0.56|1.73,0.56|1.71,0.56|1.71,0.56|1.72,0.56|1.72,0.56|1.73,0.56|1.75,0.56|1.73,0.56|1.75,0.55|1.73,0.56|1.73,0.56|1.71,0.55|1.74,0.55|1.68
Iso SF,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,-|-,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00,2.00|1.00
Signal PDF,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00,5.00|5.00
Luminosity,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,-|-,-|-,-|-,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90,3.90|3.90
MJ Normalization,-|-,-|-,-|-,-|-,-|-,-|-,-|-,80.0|100.0,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-|-
V+jets,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,2.46|2.42,2.58|2.40,-|-,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00,0.00|0.00

